scenario,direction,mode,controller,metric,mean,std
square,300.6,NONE,pid,radial_rms,17.7885,0.0000
square,300.6,NONE,pid,radial_max,25.3045,0.0000
square,300.6,NONE,pid,dc_ex,0.2868,0.0000
square,300.6,NONE,pid,dc_ey,0.3106,0.0000
square,300.6,NONE,pid,dc_radial,0.4228,0.0000
square,300.6,NONE,pid,std_x,15.8147,0.0000
square,300.6,NONE,pid,std_y,8.1333,0.0000
square,300.6,NONE,pid,depth_std,0.0000,0.0000
square,300.6,NONE,pid,pitch_mean,-0.0000,0.0000
square,300.6,NONE,pid,pitch_max,0.0000,0.0000
square,300.6,NONE,pid,IAE,4525.3989,0.0000
square,300.6,NONE,pid,IAE_norm,17.0742,0.0000
square,300.6,NONE,pid,settling_time,0.0000,0.0000
square,300.6,NONE,pid,ss_error,17.0742,0.0000
square,300.6,NONE,pid,control_effort,1123.9652,0.0000
square,300.6,NONE,pid,slew,899.2066,0.0000
square,300.6,NONE,pid,sat_freq,0.0000,0.0000
square,300.6,NONE,pid,band_dc,0.6512,0.0000
square,300.6,NONE,pid,band_wave,5.4653,0.0000
square,300.6,NONE,pid,band_high,0.4832,0.0000
square,300.6,NONE,pid,est_err_rms,0.0000,0.0000
square,300.6,NONE,pid,w_x,0.0000,0.0000
square,300.6,NONE,pid,w_y,0.0000,0.0000
square,300.6,NONE,pid,n_fail,0.0000,0.0000
square,300.6,NONE,mpc,radial_rms,2.0572,0.0000
square,300.6,NONE,mpc,radial_max,7.7257,0.0000
square,300.6,NONE,mpc,dc_ex,0.0042,0.0000
square,300.6,NONE,mpc,dc_ey,0.0896,0.0000
square,300.6,NONE,mpc,dc_radial,0.0897,0.0000
square,300.6,NONE,mpc,std_x,1.3442,0.0000
square,300.6,NONE,mpc,std_y,1.5547,0.0000
square,300.6,NONE,mpc,depth_std,0.0769,0.0000
square,300.6,NONE,mpc,pitch_mean,0.0248,0.0000
square,300.6,NONE,mpc,pitch_max,2.0312,0.0000
square,300.6,NONE,mpc,IAE,299.0630,0.0000
square,300.6,NONE,mpc,IAE_norm,1.1235,0.0000
square,300.6,NONE,mpc,settling_time,260.7660,0.0000
