scenario,direction,mode,controller,metric,mean,std
square,300.6,C,pid,radial_rms,21.6070,0.0000
square,300.6,C,pid,radial_max,34.7579,0.0000
square,300.6,C,pid,dc_ex,0.8842,0.0000
square,300.6,C,pid,dc_ey,0.5471,0.0000
square,300.6,C,pid,dc_radial,1.0398,0.0000
square,300.6,C,pid,std_x,18.9949,0.0000
square,300.6,C,pid,std_y,10.2458,0.0000
square,300.6,C,pid,depth_std,0.4713,0.0000
square,300.6,C,pid,pitch_mean,-2.1669,0.0000
square,300.6,C,pid,pitch_max,14.1063,0.0000
square,300.6,C,pid,IAE,2739.1832,0.0000
square,300.6,C,pid,IAE_norm,20.7615,0.0000
square,300.6,C,pid,settling_time,0.0000,0.0000
square,300.6,C,pid,ss_error,20.7615,0.0000
square,300.6,C,pid,control_effort,977.7512,0.0000
square,300.6,C,pid,slew,477.9499,0.0000
square,300.6,C,pid,sat_freq,0.0000,0.0000
square,300.6,C,pid,band_dc,0.0000,0.0000
square,300.6,C,pid,band_wave,8.0955,0.0000
square,300.6,C,pid,band_high,1.0464,0.0000
square,300.6,C,pid,est_err_rms,0.0000,0.0000
square,300.6,C,pid,w_x,0.0000,0.0000
square,300.6,C,pid,w_y,0.0000,0.0000
square,300.6,C,pid,n_fail,0.0000,0.0000
square,300.6,C,mpc,radial_rms,3.3416,0.0000
square,300.6,C,mpc,radial_max,8.2753,0.0000
square,300.6,C,mpc,dc_ex,1.2881,0.0000
square,300.6,C,mpc,dc_ey,-2.3169,0.0000
square,300.6,C,mpc,dc_radial,2.6509,0.0000
square,300.6,C,mpc,std_x,1.4140,0.0000
square,300.6,C,mpc,std_y,1.4627,0.0000
square,300.6,C,mpc,depth_std,0.0095,0.0000
square,300.6,C,mpc,pitch_mean,-0.0274,0.0000
square,300.6,C,mpc,pitch_max,0.0640,0.0000
square,300.6,C,mpc,IAE,412.0395,0.0000
square,300.6,C,mpc,IAE_norm,3.0721,0.0000
square,300.6,C,mpc,settling_time,120.7880,0.0000
square,300.6,C,mpc,ss_error,3.0721,0.0000
square,300.6,C,mpc,control_effort,2304.5310,0.0000
square,300.6,C,mpc,slew,2489.7812,0.0000
